2024-01-08-17-00-42,357.074564,-257.324324
2024-01-08-17-00-43,358.101099,-242.282125
2024-01-08-17-00-44,359.115034,-227.741181
2024-01-08-17-00-45,360.126644,-211.481936
2024-01-08-17-00-46,361.153744,-196.157873
2024-01-08-17-00-47,362.180546,-180.857632
2024-01-08-17-00-48,363.211800,-165.203079
2024-01-08-17-00-49,364.537440,-145.837349
2024-01-08-17-00-50,365.539302,-131.787049
2024-01-08-17-00-51,366.547714,-115.186158
2024-01-08-17-00-52,367.574776,-99.770983
2024-01-08-17-00-53,368.602945,-84.333625
2024-01-08-17-00-54,369.659155,-69.572550
2024-01-08-17-00-55,370.673448,-55.073375
2024-01-08-17-00-56,371.674198,-38.401182
2024-01-08-17-00-57,372.699719,-22.941299
2024-01-08-17-00-59,374.035404,-3.388854
2024-01-08-17-01-00,375.037734,10.925873
2024-01-08-17-01-01,376.051853,25.737688
2024-01-08-17-01-02,377.069203,41.875619
2024-01-08-17-01-03,378.090189,46.000333
